start_date,end_date,n_obs,sharpe_M5,sharpe_M8,sharpe_M10,acc_M5,acc_M8,acc_M10,eq1000_M5,eq1000_M8,eq1000_M10,dsharpe_M8_M5,dsharpe_M10_M8,dsharpe_M10_M5,dacc_M8_M5,dacc_M10_M8,dacc_M10_M5,deq_M8_M5,deq_M10_M8,deq_M10_M5
2024-10-01,2026-05-08,400,-1.830792658328997,0.6162962543125319,0.7418349209040538,0.373015873015873,0.4126984126984127,0.489247311827957,903.0505175658419,1059.0888927682672,1036.8751925993017,2.447088912641529,0.1255386665915219,2.5726275792330506,0.03968253968253965,0.07654889912954432,0.11623143881208398,156.0383752024253,-22.213700168965488,133.8246750334598
2024-10-29,2026-05-08,380,-1.792637422018659,0.44332981490281015,0.47371249331654786,0.3732590529247911,0.40947075208913647,0.48441926345609065,907.7374082955556,1039.0486766456213,1021.9589154421495,2.235967236921469,0.030382678413737707,2.2663499153352067,0.03621169916434536,0.07494851136695418,0.11116021053129954,131.3112683500657,-17.089761203471767,114.22150714659392
2024-11-26,2026-05-08,360,-1.7299792821173978,0.4319614479726929,0.3391467698484867,0.3687315634218289,0.40412979351032446,0.4864864864864865,915.0843930882147,1034.0736570005365,1014.6603637561367,2.1619407300900906,-0.09281467812420624,2.0691260519658847,0.035398230088495575,0.08235669297616205,0.11775492306465762,118.9892639123218,-19.413293244399824,99.57597066792198
2024-12-26,2026-05-08,340,-1.4652351660152192,0.6458671692771801,0.38779758534419495,0.371875,0.4125,0.48562300319488816,931.0165119995397,1050.1667282712037,1015.8098814550605,2.1111023352923994,-0.2580695839329852,1.853032751359414,0.04062499999999997,0.07312300319488818,0.11374800319488815,119.15021627166402,-34.356846816143275,84.79336945552075
2025-01-28,2026-05-08,320,-1.3255985676720443,0.8071377988648907,0.4875122130564404,0.3754152823920266,0.4186046511627907,0.48464163822525597,940.6544095370226,1061.0380707166928,1019.2603901845057,2.132736366536935,-0.3196255858084503,1.8131107807284847,0.043189368770764125,0.06603698706246525,0.10922635583322937,120.38366117967018,-41.777680532187105,78.60598064748308
2025-02-26,2026-05-08,300,-1.3948499710523485,1.2280024532302611,0.8036924956625028,0.3701067615658363,0.4199288256227758,0.4835164835164835,940.592470799929,1088.5324793804414,1028.5292496115126,2.62285242428261,-0.42430995756775836,2.1985424667148514,0.04982206405693951,0.06358765789370774,0.11340972195064725,147.94000858051243,-60.003229768928804,87.93677881158362
2025-03-27,2026-05-08,280,-1.6350983677410167,1.5607725801005838,0.9181664139732265,0.36398467432950193,0.421455938697318,0.4782608695652174,936.221198391506,1102.890843838601,1030.3688928179624,3.1958709478416005,-0.6426061661273573,2.553264781714243,0.05747126436781608,0.056804930867899395,0.11427619523571547,166.66964544709504,-72.52195102063865,94.14769442645638
2025-04-25,2026-05-08,260,-2.867633632702115,1.634555584276085,1.3158961978768429,0.35269709543568467,0.4149377593360996,0.4798387096774194,927.2792201718902,1092.3569807716663,1040.8449001345082,4.5021892169782,-0.3186593863992422,4.183529830578958,0.06224066390041494,0.06490095034131976,0.1271416142417347,165.07776059977607,-51.51208063715808,113.56567996261799
2025-05-23,2026-05-08,240,-2.6996831749056582,1.8903004105077255,1.4440336933045212,0.36199095022624433,0.4298642533936652,0.475,935.7925428194743,1102.3858773772924,1042.944450054753,4.589983585413384,-0.4462667172032042,4.14371686821018,0.06787330316742085,0.04513574660633479,0.11300904977375564,166.59333455781814,-59.44142732253954,107.1519072352786
2025-06-24,2026-05-08,220,-2.6578082494951714,2.08010439229791,1.5560175274329888,0.3645320197044335,0.43842364532019706,0.4681818181818182,940.2906224347962,1107.6847221707228,1044.006971433292,4.7379126417930815,-0.5240868648649213,4.21382577692816,0.07389162561576357,0.029758172861621135,0.1036497984773847,167.3940997359266,-63.67775073743087,103.71634899849573
